Republican_percent,Republican_number,Democratic_percent,Democratic_number,State,year,President
53.66,1288633,44.71,1073629,CO,2008,Barack Obama
60.59,997772,38.22,629428,CT,2008,Barack Obama
61.94,255459,36.95,152374,DE,2008,Barack Obama
92.46,245800,6.53,17367,D.C.,2008,Barack Obama
51.03,4282074,48.22,4045624,FL,2008,Barack Obama
46.99,1844123,52.2,2048759,GA,2008,Barack Obama
71.85,325871,26.58,120566,HI,2008,Barack Obama
36.09,236440,61.52,403012,ID,2008,Barack Obama
61.92,3419348,36.78,2031179,IL,2008,Barack Obama
49.95,1374039,48.91,1345648,IN,2008,Barack Obama
53.93,828940,44.39,682379,IA,2008,Barack Obama
41.65,514765,56.61,699655,KS,2008,Barack Obama
41.17,751985,57.4,1048462,KY,2008,Barack Obama
39.93,782989,58.56,1148275,LA,2008,Barack Obama
57.71,421923,40.38,295273,ME,2008,Barack Obama
61.92,1629467,36.47,959862,MD,2008,Barack Obama
61.8,1904097,35.99,1108854,MA,2008,Barack Obama
57.43,2872579,40.96,2048639,MI,2008,Barack Obama
54.06,1573354,43.82,1275409,MN,2008,Barack Obama
43,554662,56.18,724597,MS,2008,Barack Obama
49.29,1441911,49.43,1445814,MO,2008,Barack Obama
47.25,231667,49.51,242763,MT,2008,Barack Obama
41.6,333319,56.53,452979,NE,2008,Barack Obama
55.15,533736,42.65,412827,NV,2008,Barack Obama
54.13,384826,44.52,316534,NH,2008,Barack Obama
57.27,2215422,41.7,1613207,NJ,2008,Barack Obama
56.91,472422,41.78,346832,NM,2008,Barack Obama
62.88,4804945,36.03,2752771,NY,2008,Barack Obama
49.7,2142651,49.38,2128474,NC,2008,Barack Obama
44.62,141278,53.25,168601,ND,2008,Barack Obama
51.5,2940044,46.91,2677820,OH,2008,Barack Obama
34.35,502496,65.65,960165,OK,2008,Barack Obama
56.75,1037291,40.4,738475,OR,2008,Barack Obama
54.49,3276363,44.17,2655885,PA,2008,Barack Obama
62.86,296571,35.06,165391,RI,2008,Barack Obama
44.9,862449,53.87,1034896,SC,2008,Barack Obama
44.75,170924,53.16,203054,SD,2008,Barack Obama
41.83,1087437,56.9,1479178,TN,2008,Barack Obama
43.68,3528633,55.45,4479328,TX,2008,Barack Obama
