Republican_percent,Republican_votes,Democratic_percent,Democratic_votes,State,year,President
46.91,2677820,51.5,2940044,OH,2008,Barack Obama
65.65,960165,34.35,502496,OK,2008,Barack Obama
40.4,738475,56.75,1037291,OR,2008,Barack Obama
44.17,2655885,54.49,3276363,PA,2008,Barack Obama
35.06,165391,62.86,296571,RI,2008,Barack Obama
53.87,1034896,44.9,862449,SC,2008,Barack Obama
53.16,203054,44.75,170924,SD,2008,Barack Obama
56.9,1479178,41.83,1087437,TN,2008,Barack Obama
55.45,4479328,43.68,3528633,TX,2008,Barack Obama
62.58,596030,34.41,327670,UT,2008,Barack Obama
30.45,98974,67.46,219262,VT,2008,Barack Obama
46.33,1725005,52.63,1959532,VA,2008,Barack Obama
40.48,1229216,57.65,1750848,WA,2008,Barack Obama
55.71,397466,42.59,303857,WV,2008,Barack Obama
42.31,1262393,56.22,1677211,WI,2008,Barack Obama
64.78,164958,32.54,82868,WY,2008,Barack Obama
45.65,59948323,52.93,69498516,United States,2008,Barack Obama
60.55,1255925,38.36,795696,AL,2012,Barack Obama
54.8,164676,40.81,122640,AK,2012,Barack Obama
53.65,1233654,44.59,1025232,AZ,2012,Barack Obama
60.57,647744,36.88,394409,AR,2012,Barack Obama
37.12,4839958,60.24,7854285,CA,2012,Barack Obama
46.13,1185243,51.49,1323102,CO,2012,Barack Obama
40.73,634892,58.06,905083,CT,2012,Barack Obama
39.98,165484,58.61,242584,DE,2012,Barack Obama
7.28,21381,90.91,267070,D.C.,2012,Barack Obama
49.13,4163447,50.01,4237756,FL,2012,Barack Obama
53.3,2078688,45.48,1773827,GA,2012,Barack Obama
